"V6_flow","V1_flow","V6_open","V6_st","Prob"
"true","true","true","ok",1
"false","true","true","ok",0
"true","false","true","ok",0
"false","false","true","ok",1
"true","true","false","ok",0
"false","true","false","ok",1
"true","false","false","ok",0
"false","false","false","ok",1
"true","true","true","broken",0
"false","true","true","broken",1
"true","false","true","broken",0
"false","false","true","broken",1
"true","true","false","broken",0
"false","true","false","broken",1
"true","false","false","broken",0
"false","false","false","broken",1
"true","true","true","stuck",1
"false","true","true","stuck",0
"true","false","true","stuck",0
"false","false","true","stuck",1
"true","true","false","stuck",1
"false","true","false","stuck",0
"true","false","false","stuck",0
"false","false","false","stuck",1
"true","true","true","leak",0
"false","true","true","leak",1
"true","false","true","leak",0
"false","false","true","leak",1
"true","true","false","leak",0
"false","true","false","leak",1
"true","false","false","leak",0
"false","false","false","leak",1
