"Variable","Domain"
"V1_open","true"
"V1_open","false"
"V2_open","true"
"V2_open","false"
"V1_st","ok"
"V1_st","broken"
"V1_st","stuck"
"V1_st","leak"
"V2_st","ok"
"V2_st","broken"
"V2_st","stuck"
"V2_st","leak"
"V1_flow","true"
"V1_flow","false"
"V2_flow","true"
"V2_flow","false"
"V1_leaking","true"
"V1_leaking","false"
"V2_leaking","true"
"V2_leaking","false"
"S1_detect","true"
"S1_detect","false"
"V5_open","true"
"V5_open","false"
"V6_open","true"
"V6_open","false"
"V7_open","true"
"V7_open","false"
"V8_open","true"
"V8_open","false"
"V5_st","ok"
"V5_st","broken"
"V5_st","stuck"
"V5_st","leak"
"V6_st","ok"
"V6_st","broken"
"V6_st","stuck"
"V6_st","leak"
"V7_st","ok"
"V7_st","broken"
"V7_st","stuck"
"V7_st","leak"
"V8_st","ok"
"V8_st","broken"
"V8_st","stuck"
"V8_st","leak"
"V5_flow","true"
"V5_flow","false"
"V6_flow","true"
"V6_flow","false"
"V7_flow","true"
"V7_flow","false"
"V8_flow","true"
"V8_flow","false"
"V5_leaking","true"
"V5_leaking","false"
"V6_leaking","true"
"V6_leaking","false"
"V7_leaking","true"
"V7_leaking","false"
"V8_leaking","true"
"V8_leaking","false"
"S2_detect","true"
"S2_detect","false"
"V13_open","true"
"V13_open","false"
"V14_open","true"
"V14_open","false"
"V13_st","ok"
"V13_st","broken"
"V13_st","stuck"
"V13_st","leak"
"V14_st","ok"
"V14_st","broken"
"V14_st","stuck"
"V14_st","leak"
"V13_flow","true"
"V13_flow","false"
"V14_flow","true"
"V14_flow","false"
"V13_leaking","true"
"V13_leaking","false"
"V14_leaking","true"
"V14_leaking","false"
"S3_detect","true"
"S3_detect","false"
"E1_thrusts","true"
"E1_thrusts","false"
